Week,Fecha Act,SumaDeBEGINNER NAV,SumaDeCLOSE TRADE,SumaDeNET LIQUID VALUE,SumaDeLIQUIDACION,SumaDeCASH NAV,SumaDeOPEN CASH FLOW,SumaDeFREE CASH,SumaDeTRADING,Fondo,CloseTrade_BRUTO
Week Jul 22 to 26,2024-07-26,4109887.0,465726.0,4215211.0,0.0,5531511.0,1316300.0,872862.0,3342348.0,ESP,
Week Jul 29 to 2,2024-08-01,4116487.0,465726.0,4217511.0,0.0,5533811.0,1316300.0,875162.0,3342348.0,ESP,
Week Aug 5 to 9,2024-08-07,4116487.0,465726.0,4212245.0,0.0,5528545.0,1316300.0,869896.0,3342348.0,ESP,
Week Aug 12 to 16,2024-08-14,4436580.0,465726.0,4534568.0,0.0,5847468.0,1316300.0,1188819.0,3342348.0,ESP,
Week Aug 19 to 23,2024-08-22,4451384.0,465751.0,4394417.0,0.0,5683557.0,1289140.0,753716.0,3637299.0,ESP,
Week Aug 26 to 30,2024-08-29,4453191.0,465751.0,4396224.0,0.0,5685364.0,1289140.0,755523.0,3637299.0,ESP,
Week Sep 2 to 6,2024-09-06,4463191.0,465751.0,4406224.0,0.0,5695364.0,1289140.0,765523.0,3637299.0,ESP,
Week Sep 9 to 13,2024-09-13,4374808.0,426666.0,4566619.0,0.0,5855759.0,1289140.0,925918.0,3637299.0,ESP,
Week Sep 16 to 20,2024-09-20,4635808.0,426666.0,4827619.0,0.0,6116759.0,1289140.0,1186918.0,3637299.0,ESP,
Week Sep 23 to 27,2024-09-26,4687311.0,426666.0,4874122.0,0.0,6163262.0,1289140.0,1233421.0,3637299.0,ESP,
Week Sep 30 to 4,2024-10-04,4942439.0,426666.0,5129250.0,0.0,6418390.0,1289140.0,1488549.0,3637299.0,ESP,
Week Oct 7 to 11,2024-10-10,5589439.0,426666.0,5776250.0,0.0,7065390.0,1289140.0,2135549.0,3637299.0,ESP,
Week Oct 14 to 18,2024-10-17,5831439.0,424947.0,6029531.0,0.0,7317600.0,1288069.0,2392081.0,3634048.0,ESP,
Week Oct 21 to 25,2024-10-22,6044939.0,424947.0,6223031.0,0.0,7610453.0,1387422.0,1314370.0,4905259.0,ESP,
Week Oct 21 to 25,2024-10-25,6183112.0,424947.0,6358204.0,0.0,7752611.0,1394407.0,1362643.0,4992159.0,ESP,
Week Oct 28 to 1,2024-11-01,6290962.0,424947.0,6466054.0,0.0,7860461.0,1394407.0,1470493.0,4992159.0,ESP,
Week Nov 4 to 8,2024-11-08,6478462.0,424947.0,6653554.0,0.0,8047961.0,1394407.0,1657993.0,4992159.0,ESP,
Week Nov 11 to 15,2024-11-15,6504612.0,424947.0,6679704.0,0.0,8088827.0,1409123.0,1447775.0,5228527.0,ESP,
Week Nov 18 to 22,2024-11-19,6512892.0,424947.0,6685984.0,0.0,8111110.0,1425126.0,542077.0,6143905.0,ESP,
Week Nov 25 to 29,2024-11-26,6593592.0,424947.0,6766684.0,0.0,8222673.0,1455989.0,896802.0,5869882.0,ESP,
Week Dic 2 to 6,2024-12-03,6699092.0,424947.0,6870984.0,0.0,8326973.0,1455989.0,1001102.0,5869882.0,ESP,
Week Dic 9 to 13,2024-12-13,6775752.0,467791.0,6990488.0,0.0,8403633.0,1413145.0,1750616.0,5236427.0,ESP,
Week Dic 16 to 20,2024-12-18,6800758.0,467791.0,7014294.0,0.0,8427439.0,1413145.0,1774422.0,5236427.0,ESP,
Week Dic 23 to 27,2024-12-23,6800758.0,467791.0,7014294.0,0.0,8427439.0,1413145.0,1774422.0,5236427.0,ESP,
Week Dic 30 to 3,2025-01-03,6865764.0,467791.0,7079300.0,0.0,8492445.0,1413145.0,1839428.0,5236427.0,ESP,
Week Jan 6 to 10,2025-01-08,6887388.0,467791.0,7100924.0,0.0,8514069.0,1413145.0,1861052.0,5236427.0,ESP,
Week Jan 13 to 17,2025-01-18,6966388.0,1880936.0,8589598.0,0.0,8589598.0,0.0,8589598.0,0.0,ESP,
Week Jan 20 to 24,2025-01-25,7047415.0,1880936.0,8118925.0,0.0,8118925.0,0.0,8118925.0,0.0,ESP,
Week Jan 27 to 31,2025-01-31,7332982.0,1880936.0,8359154.0,0.0,8359154.0,0.0,8359154.0,0.0,ESP,
Week Feb 3 to 7,2025-02-06,8166982.0,1880936.0,9140154.0,0.0,9140154.0,0.0,9140154.0,0.0,ESP,
Week Feb 10 to 14,2025-02-14,8318612.0,1880936.0,9280284.0,0.0,9280284.0,0.0,9280284.0,0.0,ESP,
Week Feb 17 to 21,2025-02-20,8555052.0,1880936.0,9511724.0,0.0,9511724.0,0.0,9511724.0,0.0,ESP,
Week Feb 24 to 28,2025-02-27,8615055.0,1880936.0,9547727.0,0.0,9547727.0,0.0,9547727.0,0.0,ESP,
Week Mar 3 to 7,2025-03-06,8732607.0,1880936.0,9312469.0,0.0,9312469.0,0.0,9312469.0,0.0,ESP,
Week Mar 10 to 14,2025-03-14,9089107.0,1880936.0,9656969.0,0.0,9656969.0,0.0,9656969.0,0.0,ESP,
Week Mar 17 to 21,2025-03-19,9202637.0,1880936.0,9770499.0,0.0,9770499.0,0.0,9770499.0,0.0,ESP,
Week Mar 24 to 28,2025-03-28,9221003.0,1988096.0,9896025.0,0.0,10230059.0,334034.0,4805816.0,5090209.0,ESP,
Week Mar 31 to 4,2025-04-04,8756394.0,1893566.0,9920416.0,0.0,10254450.0,334034.0,4830207.0,5090209.0,ESP,
Week Abr 7 to 11,2025-04-09,8858878.0,1910085.0,9935900.0,0.0,10269934.0,334034.0,4845691.0,5090209.0,ESP,
